Elephant
Versão,Tamanho,Tempo Médio (s),Intervalo de Confiança (s)
mandelbrot_seq,16,0.002396,0.000342
mandelbrot_seq,32,0.00604,0.00101
mandelbrot_seq,64,0.00954,0.00104
mandelbrot_seq,128,0.02811,0.00202
mandelbrot_seq,256,0.1689,0.0194
mandelbrot_seq,512,0.4873,0.0234
mandelbrot_seq,1024,2.3409,0.0829
mandelbrot_seq,2048,7.403,0.933
mandelbrot_seq,4096,14.71314,0.00402
mandelbrot_seq,8192,58.8558,0.0278
mandelbrot_pth,16,0.0009345,2.07e-05
mandelbrot_pth,32,0.0011473,2.76e-05
mandelbrot_pth,64,0.0020033,3.24e-05
mandelbrot_pth,128,0.005542,0.000104
mandelbrot_pth,256,0.019596,0.000394
mandelbrot_pth,512,0.0730547,7.07e-05
mandelbrot_pth,1024,0.287555,0.00029
mandelbrot_pth,2048,1.2137,0.0289
mandelbrot_pth,4096,5.19052,0.00892
mandelbrot_pth,8192,20.7782,0.015
mandelbrot_omp,16,0.0009115,3.08e-05
mandelbrot_omp,32,0.001307,0.000115
mandelbrot_omp,64,0.0020722,3.97e-05
mandelbrot_omp,128,0.0054948,4.57e-05
mandelbrot_omp,256,0.0222073,3.29e-05
mandelbrot_omp,512,0.085662,0.000273
mandelbrot_omp,1024,0.3319,0.00144
mandelbrot_omp,2048,1.31434,0.00569
mandelbrot_omp,4096,5.19406,0.00595
mandelbrot_omp,8192,20.7276,0.0239


Full
Versão,Tamanho,Tempo Médio (s),Intervalo de Confiança (s)
mandelbrot_seq,16,0.00425,0.00116
mandelbrot_seq,32,0.002617,0.000572
mandelbrot_seq,64,0.00704,0.00108
mandelbrot_seq,128,0.00715,0.000585
mandelbrot_seq,256,0.03997,0.00387
mandelbrot_seq,512,0.1432,0.0174
mandelbrot_seq,1024,0.4916,0.026
mandelbrot_seq,2048,2.1376,0.0993
mandelbrot_seq,4096,2.79993,0.00898
mandelbrot_seq,8192,11.1031,0.0118
mandelbrot_pth,16,0.001422,0.000402
mandelbrot_pth,32,0.0009341,3.23e-05
mandelbrot_pth,64,0.0012063,2.22e-05
mandelbrot_pth,128,0.0021988,2.98e-05
mandelbrot_pth,256,0.0061292,3.43e-05
mandelbrot_pth,512,0.022027,0.000204
mandelbrot_pth,1024,0.082225,0.000167
mandelbrot_pth,2048,0.32742,0.00103
mandelbrot_pth,4096,1.4153,0.0105
mandelbrot_pth,8192,5.53186,0.00748
mandelbrot_omp,16,0.00128,0.000403
mandelbrot_omp,32,0.000963,3.83e-05
mandelbrot_omp,64,0.0011871,4.09e-05
mandelbrot_omp,128,0.00227,5.04e-05
mandelbrot_omp,256,0.0066459,8.29e-05
mandelbrot_omp,512,0.025464,0.000188
mandelbrot_omp,1024,0.095117,0.000774
mandelbrot_omp,2048,0.35976,0.00247
mandelbrot_omp,4096,1.40388,0.00558
mandelbrot_omp,8192,5.5305,0.0125

Seahorse
Versão,Tamanho,Tempo Médio (s),Intervalo de Confiança (s)
mandelbrot_seq,16,0.003662,0.000698
mandelbrot_seq,32,0.00656,0.00134
mandelbrot_seq,64,0.01509,0.00241
mandelbrot_seq,128,0.03359,0.00255
mandelbrot_seq,256,0.1839,0.0166
mandelbrot_seq,512,0.6021,0.0316
mandelbrot_seq,1024,2.578,0.0739
mandelbrot_seq,2048,10.052,0.198
mandelbrot_seq,4096,15.62634,0.00441
mandelbrot_seq,8192,62.4316,0.0138
mandelbrot_pth,16,0.0009284,3.05e-05
mandelbrot_pth,32,0.0011389,3.3e-05
mandelbrot_pth,64,0.0020577,2.91e-05
mandelbrot_pth,128,0.0057587,5.72e-05
mandelbrot_pth,256,0.0200068,3.68e-05
mandelbrot_pth,512,0.08006,0.00159
mandelbrot_pth,1024,0.303694,0.000384
mandelbrot_pth,2048,1.215741,0.000803
mandelbrot_pth,4096,5.5618,0.0389
mandelbrot_pth,8192,21.928,0.024
mandelbrot_omp,16,0.00095,3.9e-05
mandelbrot_omp,32,0.0011549,4.29e-05
mandelbrot_omp,64,0.0021598,4.04e-05
mandelbrot_omp,128,0.0056809,4.99e-05
mandelbrot_omp,256,0.02318,0.000363
mandelbrot_omp,512,0.089037,0.000651
mandelbrot_omp,1024,0.34742,0.00144
mandelbrot_omp,2048,1.37116,0.00209
mandelbrot_omp,4096,5.45909,0.0087
mandelbrot_omp,8192,21.814,0.0369


Triple Spiral
Versão,Tamanho,Tempo Médio (s),Intervalo de Confiança (s)
mandelbrot_seq,16,0.00102,0.000341
mandelbrot_seq,32,0.0066,0.00103
mandelbrot_seq,64,0.00892,0.000515
